author,normalized_content,normalized_title
Antonio Machado,noble poeta escuchado ecos tarde violines otoño verlaine cortado rosas ronsard jardines francia hoy peregrino ultramar sol trae oro verbo divino salterios loor vibran coro nave bien guarnida fuerte casco acerada prora viento luz blanca vela henchida surca pronta arribar mar sonora grito salve bandera flamígera hermosa galera nueva españa españa viene,maestro rubén darío
Jorge Luis Borges,sé mayores portugueses borges vaga gente prosigue carne oscuramente hábitos rigores temores tenues si nunca sido ajenos trámites arte indescifrablemente forman parte tiempo tierra olvido mejor así cumplida faena portugal famosa gente forzó murallas oriente dio mar mar arena rey místico desierto perdió jura muerto,borges
Pablo Neruda,mar tormentoso chile vive rosado congrio gigante anguila nevada carne ollas chilenas costa nació caldillo grávido suculento provechoso lleven cocina congrio desollado piel manchada cede guante descubierto queda entonces racimo mar congrio tierno reluce desnudo preparado apetito ahora recoges ajos acaricia primero marfil precioso huele fragancia iracunda entonces deja ajo picado caer cebolla tomate cebolla color oro mientras cuecen vapor regios camarones marinos llegaron punto cuajó sabor salsa formada jugo océano agua clara desprendió luz cebolla entonces congrio sumerja gloria olla aceite contraiga impregne sólo necesario dejar manjar caer crema rosa espesa fuego lentamente entregar tesoro caldillo calienten esencias chile mesa lleguen recién casados sabores mar tierra plato conozcas cielo,oda caldillo congrio
Federico García Lorca,cuchara arrancaba ojos cocodrilos golpeaba trasero monos cuchara fuego siempre dormía pedernales escarabajos borrachos anís olvidaban musgo aldeas aquel viejo cubierto setas iba sitio lloraban negros mientras crujía cuchara rey llegaban tanques agua podrida rosas huían filos últimas curvas aire montones azafrán niños machacaban pequeñas ardillas rubor frenesí manchado preciso cruzar puentes llegar rubor negro perfume pulmón golpee sienes vestido caliente piña preciso matar rubio vendedor aguardiente amigos manzana arena necesario dar puños cerrados pequeñas judías tiemblan llenas burbujas rey harlem cante muchedumbre cocodrilos duerman largas filas bajo amianto luna nadie dude infinita belleza plumeros ralladores cobres cacerolas cocinas ay harlem ay harlem ay harlem angustia comparable rojos oprimidos sangre estremecida dentro eclipse oscuro violencia granate sordomuda penumbra gran rey prisionero traje conserje noche hendidura quietas salamandras marfil muchachas americanas llevaban niños monedas vientre muchachos desmayaban cruz desperezo beben whisky plata junto volcanes tragan pedacitos corazón heladas montañas oso aquella noche rey harlem durísima cuchara arrancaba ojos cocodrilos golpeaba trasero monos cuchara negros lloraban confundidos paraguas soles oro mulatos estiraban gomas ansiosos llegar torso blanco viento empañaba espejos quebraba venas bailarines negros negros negros negros sangre puertas noche boca arriba rubor sangre furiosa debajo pieles viva espina puñal pecho paisajes bajo pinzas retamas celeste luna cáncer sangre busca mil caminos muertes enharinadas ceniza nardo cielos yertos declive colonias planetas rueden playas objetos abandonados sangre mira lenta rabo ojo hecha espartos exprimidos néctares subterráneos sangre oxida alisio descuidado huella disuelve mariposas cristales ventana sangre viene vendrá tejados azoteas todas partes quemar clorofila mujeres rubias gemir pie camas insomnio lavabos estrellarse aurora tabaco bajo amarillo huir huir esquinas encerrarse últimos pisos tuétano bosque penetrará rendijas dejar carne leve huella eclipse falsa tristeza guante desteñido rosa química silencio sapientísimo camareros cocineros limpian lengua heridas millonarios buscan rey calles ángulos salitre viento sur madera oblicuo negro fango escupe barcas rotas clava puntillas hombros viento sur lleva colmillos girasoles alfabetos pila volta avispas ahogadas olvido expresado tres gotas tinta monóculo amor solo rostro invisible flor piedra médulas corolas componían nubes desierto tallos sola rosa izquierda derecha sur norte levanta muro impasible topo aguja agua busquéis negros grieta hallar máscara infinita buscad gran sol centro hechos piña zumbadora sol desliza bosques seguro encontrar ninfa sol destruye números cruzado nunca sueño tatuado sol baja río muge seguido caimanes negros negros negros negros jamás sierpe cebra mula palidecieron morir leñador sabe cuándo expiran clamorosos árboles corta aguardad bajo sombra vegetal rey cicutas cardos ortigas turben postreras azoteas entonces negros entonces entonces podréis besar frenesí ruedas bicicletas poner parejas microscopios cuevas ardillas danzar fin duda mientras flores erizadas asesinan moisés casi juncos cielo ay harlem disfrazada ay harlem amenazada gentío trajes cabeza llega rumor llega rumor atravesando troncos ascensores través láminas grises flotan automóviles cubiertos dientes través caballos muertos crímenes diminutos través gran rey desesperado cuyas barbas llegan mar,rey harlem
Rubén Darío,recuerdas querías ser margarita gautier fijo mente extraño rostro cenamos juntos primera cita noche alegre nunca volverá labios escarlatas púrpura maldita sorbían champaña fino baccarat dedos deshojaban blanca margarita sabías adoraba después oh flor histeria llorabas reías besos lágrimas boca risas fragancias quejas tarde triste dulces días muerte celosa ver si querías margarita amor deshojó,margarita
Ramón López Velarde,carlos gonzález peña circos trashumantes lamido perrillo enciclopédico desacreditados elefantes enseñaron cómica friolera magnas tragedias hilarantes aeronauta previo colgado dedos pies bravo cosmógrafo revés si subía asomarse polo norte polo sur cuestiones personales eolo irrumpía payaso estridencia ambigua tiempo manicomio niñez golpe contuso pesadilla licencia amábanlo niños salía bodega mágica azúcares faz sólo trágica dos lágrimas sendas carmín polvorosa apariencia toleraba tenerlo limpio sucio cónico bonete gloria inestable procaz occipucio payaso tocaba amazona hallaba almendra juzgar mímica fehaciente toda persona llevaba dedo temerario lengua cínica glotona día payaso dio probar rastro amazona ejemplar señor gobernador aquel comprendí poder ejecutivo aturrullado oh remoto payaso umbral infancia derecha virtudes recién nacidas puedo tener sospecha amazonas almendras prohibidas almendras raudas hechas terciopelos trinos dejan tocar caudas adioses baldíos augustas evas redivivas niegan migaja inculcan sangre briosa patética mendicidad almendras fugitivas menuda cuadrumana enagilla céfiro cabalgando redondel azoros humana vencía obstáculos inquina aviesos aros papel erudita cavilación darwin montaba enagilla obscena avisada monita quedaba serena espejismo despreocupada lastimosamente desmantelado transformismo niña bell cantaba paloma errante botellas cascabeles surtía abundante surtidor sonidos acuáticos sed acuática papás aburridos nodriza inverecunda prole gemebunda oh memoria circo vas adelgazando frecuente síncope latón compás apesadumbrada somnolencia gas talento necio domador aquel molestaba leones hartos viudo oscilar trapecio,memorias circo
Nicolás Guillén,palma patio nació sola creció viera creció sola bajo luna sol vive sola largo cuerpo fijo palma sola sola patio sellado siempre sola guardián atardecer sueña sola palma sola soñando palma sola va libre viento libre sola suelta raíz tierra suelta sola cazadora nubes palma sola palma sola palma,palma sola
Carmen Conde Abellán,igual reír dentro campana aire oírte saber hueles gesto vas gastando noche cuerpo transparento vida acaban ojos ciegos juntan nadie sabe mortal ausencia duerme boca clama voz desiertos llanto brotan tiernos laureles frentes ajenas amor consuela prodigando alma luz desmayo nacen hijos tierra flor flor cielo solamente mujer fondo cristal brillo campana caliente vamos considerando vida vida puede ser amor amor embriaga duda sufrir dichosa segura luz ojos reír cantar estremecernos libres desear ser vida sé supe ello permanezco mundo,amante
Blas de Otero,verdad gusta verte hundida mar música dejarte llevar alas abismarte luz tan honda escondida si así ames dame vida esencia clamor arte herida dios parte parte quiero escuchar solo herida mares alas intensas luces libres sonarán alma vibres ciega amor tañida brazos sabré música ardorosa unas alas dios luz rosa mar total olas abrazos,música
José María Hinojosa,federico g lorca ladera cubierta hierba arroyo fondo lentisco extiende ramas círculo mirlo deja caer vuelo rítmico clava flecha negra plano verde liso retamas filamentos grises erguidos piedras moho amarillo cabra dos cabritillos transponen viso silencio gira buscando ruido,cañada
Luis Benítez,the nightmare mare of the night pesadilla yegua noche robert graves carne carne amada hoy literatura muerte pudo ser llegó menos ahora dibujo hago papel efímero esplendor destinado hombres nunca horas venir abandonado día noche veo alto caballo negro contener cosas observa hace cuidarse papeles manos franca pesadilla yegua pasta entiendes robert graves bajo suelo guarda apellido,yegua noche
Luis de Góngora,frescos airecillos primavera tejéis guirnaldas esparcís violetas tajo vega amorosos hurtos agradables penas estío ardiente fuerza álamos daban frondosas defensas álamos crecidos hojas inciertas medias esmeraldas plata medias ninfas zagalejas sagrado tajo riberas mil veces llamastes vinieron ocupar río verdes cenefas luego calándoos apriesa lascivos soplos alas lisonjeras sueño trajistes descuido vueltas pago valieron mil vistas secretas tener velo envidia queja andar falda luchando fuerza ahora pues aires sierras coronen cumbres confusas nieblas aquilón dura inclemencia desnude plantas vista tierra secas hojas tregua sol ardiente verde yerba nieves hielo conviertan cristal rocas vidrio selvas batid alas dad vuelta templado seno alegre espera veréis camino ninfa bella pisa orgullosa betis arena montaraz gallarda temida sierra mirar saetas ahora halléis maleza fragoso monte siguiendo fieras ahora llano planta ligera fatigando corzo herido vuela ahora clavando armada cabeza antiguo ciervo encina vieja cansada caza vuelva dejar río sudor perlas pie recueste dura peña toma lección dureza llegaos orealla cerca lleváis suspiros corrido si calurosa soplad afuera ingrata mejor entienda decidle airecillos bellísima leda gloria bosques honor aldea enfermo daliso junto tajo queda muerte lado manos ausencia suplícate humilde vuelvan fuego ceniza destierro tierra premio glorioso amor merezca suspiros menos letra punta escrita aguda flecha campo duro dura peña razón razón lea mano tan dura cosa tierna adonde digas muere allá vuelvas adorar sombra arrastrar cadenas,frescos airecillos
Fa Claes,veces niebla adivinando sólo sombras toda lejanía encogido alrededor círculo sofocante ojos buscan busca medio ruidos apagados embargo medio campo humea frío medio angustia preguntas feliz aquel pronto desvanece niebla cortina diáfana todas partes retrocediendo simultáneamente claridad penetra cuidadosa primera casa gris árboles torres ciudad entonces pronto allá arriba brilla claro azul celeste casa hace ladrillo rojo árbol hace pino verde delante detrás doquier contemplas lejanía tierra aire torres luz nueva vida risueña jurarías allá detrás horizonte siempre horizonte ríe vitorea hace señas tiempo nuevo año nuevo pronto hacer sino ser pregunta deseo esperar cumplimiento,detrás hombre
Luciano Castañón,ignoran problemas esenciales vivir vegetar cofradía regala jubilados día patrona distintos vales pueden canjear reales hechos bollo vino anarquía duerme entonces dormiría enfermo inyectado males aire vejez invade corte secular guadaña cercenara preocupaciones barato engaño cofrade soleas ríes vives daña mirar tan inservibles corazones,ancianos
Francisco de Quevedo,leyes juzgas oh batino menos bien estudias vendes compran solamente entiendes jasón agrada vellocino humano derecho divino interpretas ofendes compás encoges extiendes mano fallo previno sabes escuchar ruegos baratos sólo da quita dudas gobiernan textos sino tratos pues intento interés mudas lávate manos pilatos bolsa ahórcate judas,juez mercadería
Lope de Vega,céfiro blando quejas tristes tantas veces llevaste claras fuentes tiernas lágrimas ardientes dulce licor ponzoña hicistes selvas querellas esparcistes ásperos montes mal presentes ríos ojos siempre ausentes veneno mar tirano distes pues aspereza rigor tan fiero permite voz articulada decid desdén muero si viere mundo transformada laurel dureza espero della veréis frente coronada,céfiro blando quejas tristes
José Martí,crin hirsuta espantado caballo troncos secos mira garras dientes tremendo lobo destrozado verso levanta levanta manera puñal hunde cuello res sube cielo hilo sangre sólo amor engendra melodías,crin hirsuta
Gerardo Diego,homenaje vicente aleixandre sombra nogal peligrosa tupido octubre bóveda cúpula inmóvil cobija invita caricia fresca van cayendo frutos torturados cerebros nueces nueces noches sombra luna muerta nogal van sucidándose hojas quejumbrosas pies desconocidos invisibles huellan quebrantan sepultan librándolas así torbellino eólico azota mortal abandonado haz funesta tierra impenetrable quién pasa quién posa quién pies piadosos redentores,sombra nogal
Andrés Bello,líbranos fiera tiranía humanos jove omnipotente oveja decía entregando vellón tijera pobre gente hace pastor daño semana mes año garra tigres hiciera vengan padre común vivientes veranos ardientes venga invierno frío danos albergue bosque umbrío dejándonos vivir independientes jamás oigamos zampoña aborrecida da roña veamos armado maldito cayado hombre destructor maltrata trasquila ciento ciento mata suelta liebre pace gusta va place zagal redil cencerro tristes ovejas duro caso si dar paso pedir licencia perro viste abriga hombre lana carnero vianda cuotidiana airado envías tierra delitos hambre peste guerra quién visto corra sangre humana altares oveja sola aplacar cólera inmola peca pagamos razón sujetas gobierno malvada raza dios eterno siempre vivamos costaba darnos si ordenabas esclavas menos creles amos matanza matanza robo robo harto fiera pastor lobo mientras así queja ventura oveja monda piel fregándose grama vulgo inocentes baladores vivan lobos clama mueran pastores súbito rebato cunde pronunciamiento hato hato senado ovejuno ah dice,ovejas
Juan Liscano,acarician bastan colmados mismos colmados sed sensual conocieron ayer llevan siglos parecerse abrazarse paredes siempre únicas reconocerse lugares sueño esconde tesoro dicha deja nostalgia nunca aroma piel ramajes íntima penumbra labios besan herida rostro asomado secreto rostro refleja palabras derriten dedos semejanzas descubiertas delicia apetencias olvido sabores probados mientras inventan paraísos castigo cuentan tientas alma mientras asumen destino frutas vida fulgura siempre nunca efímeros primera vez repetido final partes confundidas miembros amor enlaza alcanza rumor urbe bien oyen cubre susurro aman dispersa soplo dan huelen gustan desean libertad encuentran deslumbra ascienden isla espacial astros pareja historia pareja constelada miran mismos aparece abierta impúdica ojerosa tremulante enhiesto obsceno avisor posesivo contráctil húmeda gimiente umbría herido llameante solar fulminado cuánto abandono momentáneocuánto triunfo pueden equivocarse gozosamente confundir imágenes deseo espejado fundir sabores bocas perderse juntos placer fluir manantiales arroyos arroyos raudales raudales ríos mar volcarse unidad origen espacio pletórico vibrante cada movimiento transmite polo polo flotarán flotando dos hipocampos entregados rito nupcial aflojan redes nudos milenarios arrojan pasado cáscaras trapos viento propicio borra huellas mezcla arenas estrellas dan espalda memoria hueca ser cresta ola ser cresta espuma sortilegio cielo mar espacio palpitante rompe sales cresta ola caballos tornasolados recorre punta punta tiempo playa arrojo contigo corro contigo final día filo jabalina destello vivan esfuerzo besos presencia única vivan júbilo mar cuerpos aparejados almizcle huele marisco gato montés relámpago dormimos juntos,pareja historia
Julio Herrera y Reissig,tarde paga oro divino faenas ven limpias mujeres vestidas percales trenzando cabellos tilos azucenas haciendo labores aguja umbrales zapatos claveteados báculos chales dos mozas cántaros deslizan apenas huye vuelo sonámbulo horas serenas suspiro arcadia peina matorrales cae silencio austero charco nimba estalla gangosa balada marimba lagos amortiguan espectrales lampos cumbres quiméricas corónanse rosas humean lejos rutas polvorosas labriegos regresan campos,vuelta campos
Fa Claes,rijmenam montañas tiempo ejecutaban dos veces concierto trompeta trombón peter cabus quitado polvo salón pasado aguafuertes karel mechiels frida duverger lado cuadros lily ingrid volder retratos rené smits ja ja pienso voz alta mismo mirando alrededor mano cintura arte todas obras arte casa reluce pienso nuevo asombro oigo declarándome respetuosamente mismo santo cielo cómo alto aquí colmado ecos montañas amigos maestros apogeo admiración,cultura
Alfredo Lavergne,visto desnudarse vestirse callao santa fe trinidad simplifican diversifican presento corbata ciudades toque final moda oro cuero desesperanza importa estilo si vas sabor mejor sabor,camisa blanca
Julia de Burgos,vida filosofía brindemos cierto ser cuerpos brindemos sensuales labios ceros sensuales azules besos azul quimérica mentira blandos océanos blancos cielos brindemos material reclamo hunde levanta carnal deseo carne relámpago chispazo verdad mentira fin universo brindemos bien alma corre mentira potro freno buen siquiera asoma repente breve destello brindemos ninguno siempre nunca cuerpos menos tantos tan sombras huecas vivos muertos si ser venimos hacia ser marchamos cero cero cero si puede existir brindemos bello ser cuerpos,
Nicanor Parra,juro recuerdo nombre mas moriré llamándola maría simple capricho poeta aspecto plaza provincia tiempos aquellos espantapájaros joven pálida sombría volver tarde liceo supe muerte inmerecida nueva causó tal desengaño derramé lágrima oírla lágrima quién creyera persona energía si conceder crédito dicho gente trajo noticia debo creer vacilar punto murió nombre pupilas hecho sorprende nunca cosa amiga nunca simples relaciones estricta cortesía palabras palabras mención golondrinas conocí pueblo pueblo sólo queda puñado cenizas jamás vi destino joven triste pensativa así llegué tratarla celeste nombre maría circunstancia prueba claramente exactitud central doctrina puede ser vez besado quién besa amigas presente hice darme cuenta bien hacía negaré gustaba inmaterial vaga compañía espíritu sereno flores domésticas anima puedo ocultar ningún modo importancia sonrisa desvirtuar favorable influjo mismas piedras ejercía agreguemos aún noche ojos fuente fidedigna mas pesar necesario comprendan quería sino vago sentimiento pariente enfermo designa embargo sucede embargo fecha aún maravilla inaudito singular ejemplo morir nombre pupilas múltiple rosa inmaculada lámpara legítima razón mucha razón gente pasa quejando noche día mundo traidor vivimos vale menos rueda detenida honorable tumba vale hoja enmohecida verdad aquí perdura color cristal mira hoy día azul primavera creo moriré poesía famosa joven melancólica recuerdo nombre sólo sé pasó mundo paloma fugitiva olvidé quererlo lentamente todas cosas vida,olvido
Mario Benedetti,esplende sesentón logra vencer dos pulgadas bisoño intentó conseguir único asiento libre bienquiere contribuyente silvestre cajera número cuatro momento enfrentarla tras dos horas cola acoge deudor noticia fallecido acreedor implacable suele compungirse buena gente si locutor advierte tiempo traicionera errata acecha cable llagdo última hora prójimo permanece enjabonado bajo ducha causa corte imprevisto cabo tres minutos solaza advertir agua vuelve manar usura chofer reconcilia vida tras esquivar limpiamente desbocado camión tres containers adolescente ama decibeles mismo así trifena aproximadamente así suelo quererte,epigrama
Salvador García Ramírez,josé lemos cristina branco sabemos química cómo combinan intimidade penumbra infancia moreras altura agua cómo sobreviene protegido espacio envolvente barullo cómo articula sensible manar anónima corriente pie acueducto pulida rectángulo fórmula impensable debió acontecer privilegio tan secreta voraz tan frágil razón evidente apenas si supimos lembrar as descobertas aos quatro ventos ficar com esquivo sabemos química gusano seda siempre aparece lado incierto,jardim das amoreiras
