author,normalized_content,normalized_title
Gabriela Mistral,corro niñas corro mil niñas alrededor oh dios dueña resplandor tierra yerma aquel desierto mordido sol corro niñas inmensa flor llano verde pie montes hería voz corro solo divino temblor estepa inmensa estepa yerta desolación corro niñas ardiendo amor vano quisieron quebrarme estrofa tribulación corro canta debajo dios,corro luminoso
Francisco de Quevedo,escondida debajo armada gime mar vela llama viento lunas turco firmamento eclipse promete jornada quiere venas inglés espada matar sed español sediento armas sol asiento mira lumbre rayos aumentada ventura tierra envidiosa arma ejércitos triunfantes monstruos soberbios poderosa viendo armar rayos fulminantes júpiter diestra valerosa pienso vuelto mundo gigantes,rey felipe iii
Octavio Paz,nombras árbol niña árbol crece lento pleno anegando aires verde deslumbramiento volvernos verde mirada nombras cielo niña cielo azul nube blanca luz mañana meten pecho volverlo cielo transparencia nombras agua niña agua brota sé dónde baña tierra negra reverdece flor brilla hojas húmedos vapores convierte dices niña nace silencio vida ola música amarilla dorada marea alza plenitudes vuelve ser extraviados niña levanta resucita ola fin límites eterna,niña
Juan Ramón Mansilla,escribo poema domingo abril tarde nublada voces niños calle lado verja árbol agita viento ayer horas viaje aún ahora sigo viajando yendo palabras lugar suena canción leo libro auden analogías basura basaron fe si verdad apenas importa pasado días divisando señales venían silenciosas recuerdo volvía reales fuelle aviva lumbre bajo ceniza llamas dejado sé analogía argucia dilema veces seca garganta aún así recuerdo trae color cambia cuarto hospitalario aire nuevo aire deseos invariables van tiempo quedan,analogías
Jorge Luis Borges,dónde vida pudo haber sido venturosa triste horror cosa pudo ser espada escudo dónde perdido antepasado persa noruego dónde azar quedarme ciego dónde ancla mar dónde olvido ser dónde pura noche rudo labrador confía iletrado laborioso día según quiere literatura pienso compañera esperaba tal vez espera,perdido
Pablo Neruda,va poesía cosas puede condensar vida ayer mirando último crepúsculo manchón musgo unas ruinas ciudades hollines venganzas cochinada gris suburbios oficina encorva espaldas jefe ojos turbios sangre arrebol cerros sangre calles plazas dolor corazones rotos podre hastíos lágrimas río abraza arrabal mano helada tienta tinieblas aguas avergenzan verse estrellas casas esconden deseos detrás ventanas luminosas mientras afuera viento lleva barro cada rosa lejos bruma olvidanzas humos espesos tajamares rotos campo campo verde jadean bueyes hombres sudorosos aquí brotado ruinas mordiendo solo todas tristezas si llanto semilla único surco tierra,barrio luz
José Asunción Silva,amo dichas hogar sencillo apetezco plácido cariño quiero descanse rodillas rubia cabecita algún niño gutiérrez nájera regresar fatigado trabajo diaria fena ir mirarse hondo retratado pupilas negras cerca rico piano mientras vaga blancas teclas mano marfil soñar despierto felicidad eterna luz lámpara brillante ver rubias cabezas risueños niños infantiles ilusiones llenos mirada tender cuna flor entreabierta hojas perfumadas guarda existencia nueva oh cuadro hogar oh perspectiva cariñosa risueña paso falso mundo ancha herida sangrienta desengaño abrió sentimos caer mustias secas primera juventud rosas mortal desea dejar silencio venturoso deslizar existencia guardar divino delicado alma herida encierra seno feliz concha lejos tormentas guarda fondo movible océano nacaradas perlas,noches hogar
Pablo Neruda,cien sonetos amor lejos solo día cómo sé decirlo largo día esperando estaciones alguna parte durmieron trenes vayas hora entonces hora juntan gotas desvelo tal vez humo anda buscando casa venga matar aún corazón perdido ay quebrante silueta arena ay vuelen párpados ausencia vayas minuto bienamada minuto ido tan lejos cruzaré toda tierra preguntando si volverás si dejarás muriendo,cien sonetos amor
Francisco Álvarez,desnuda pie vetusta encina alza brazos ofrecimiento arroyo acerca claro lento roba formas arremolina desierto paisaje colina rompe amanecer momento invisibles tentáculos viento envuelven espira clandestina oh libertad cuerpo despojado vestimenta inútil logrado revestirse luz color belleza senos descubiertos temblorosos muslos entreabiertos ojos azules candor,desnudo
Hilario Barrero,arrimo calle estrecha dejo pasar sombra viene siguiendo,postdata
Mario Meléndez,hermana despertó temprano mañana dijo levántate venir ver mar llenado estrellas maravillado aquella revelación vestí apresuradamente pensé si mar llenado estrellas debo tomar primer avión recoger peces cielo,recuerdos futuro
Luis de Góngora,occidental oh licio climatérico lustro vida mal afirmado pie caída toda fácil caída precipicio caduca paso ilústrese jucio desatándose va tierra unida prudencia polvo prevenida ruina aguardó edificio piel sólo sierpe venenosa mas piel años desnuda hombre ciego discurso humano oh aquel dichoso ponderosa porción depuesta piedra muda leve da zafiro soberano,infiere achaques vejez
Genaro Ortega Gutiérrez,puestos desmitificar elementos románticos acompañaron aquella pequeña historia deberías obligarte vaciar recuerdos calles sombreadas lluvia cansancio libre fin tarea harto fatigosa encajar perfectamente axiomas aprendidos sometido número siete palpita cálido corazón,vísceras sueño
Luis Cernuda,cuerpos flores puñales cintas agua temprano tarde quemaduras cuerpo agranden convirtiendo virtud fuego piedra hombre hombre agita todas direcciones sueña libertades compite viento día quemadura borra volviendo ser piedra camino nadie piedra sino camino cruzan pasar pies desnudos muero amor doy cuerpo pisen aunque lleve ambición nube ninguno comprenda ambiciones nubes valen amor entrega,cuerpos flores
Pablo Neruda,innecesario viéndome espejos gusto semanas biógrafos papeles arranco corazón capitán infierno establezco cláusulas indefinidamente tristes vago punto absorbo ilusiones converso sastres nidos menudo voz fatal fría cantan hacen huir maleficios país extenso cielo supersticiosas alfombras arco iris vegetaciones vesperales hacia allí dirijo cierta fatiga pisando tierra removida sepulcros frescos sueño plantas legumbre confusa paso documentos disfrutados orígenes vestido ser original abatido amo miel gastada respeto dulce catecismo cuyas hojas duermen violetas envejecidas desvanecidas escobas conmovedoras auxilios apariencia duda pesadumbre certeza destruyo rosa silba ansiedad raptora rompo extremos queridos aún aguardo tiempo uniforme medidas sabor alma deprime día sobrevenido espesa luz leche compacta digital favorece oído relinchar rojo caballo desnudo herraduras radiante atravieso iglesias galopo cuarteles desiertos soldados ejército impuro persigue ojos eucaliptos roban sombra cuerpo campana galopa golpea necesito relámpago fulgor persistente deudo festival asuma herencias,caballo sueños
Ángeles Carbajal,volveremos subir peldaños granates tardes deja vaya abandonó abandonaste adivina quién lee libros escoge palabras pronuncian callan olvidarse nunca flor agua manos bolígrafo papel adivina quién enamora luz invierno cesto fruta caravaggio,primera palabra regreso
José Martí,ganado pan hágase verso comercio dulce ejercite mano prófugo perdido oscuras malezas lleva rastra enorme peso andaba sumas hilando revolviendo cifras bardo consejo quieres pues descuelga pálida espalda ensangrentada arpa dívea acalla sollozos garganta mar furia agolparán madera rica taja plumillas escritorio echa cuerdas rotas movible viento oh alma oh alma buena mal oficio póstrate calla cede lame manos potentado ensalza excusa defectos tenlos mejor manera excusarlos mansa temerosa vicios celebra encumbra vanidades verás entonces alma cuál trueca plato oro rico desnudo plato pobre guarda oh alma usan hombres hoy oro empañado cures fabrican oro joyas bribón barbilindo armas armas hierro mal rudo ciudad encona alivia campo inmenso vasto aliviará mejor oscuras tardes atraen si patria dilatada sombra oh verso amigo muero soledad amor muero vulgar amor amores envenenan ofuscan hermosa fruta mujer sino estrella tierra ser luz vivo debe torno dar lumbre astro oh damas muestra oh copas carne oh siervas dueño enjoya estremece echadas digo oh verso dientes duelen comer carne inefable amor muero dulce menester llevar lleva niño tierno cuidosas manos cuanto bello triste ven ojos sueño fuerzas repara sino dichosos tristes duro humor fatiga aumenta salto sol ebrio manos frente oprimo turbios ojos brota raudal lágrimas miro sol tan bello desierta alcoba virtud inútil fuerzas tropel famélico hirsutas fieras saltan buscando empleo aire hueco palpo muro frío desnudo cuerpo vacilante apoyo cráneo estremecido agonía flota pensamiento leño bajel despedazado mar furia playa ardiente arroja sólo flores paterno prado olor sólo seibas patrias sol amparan vaga nube suelo extraño anda miradas injurias parecen sol mismo grato calor enciende ira voces queridas puebla eco aires tierras vuelan arbolar espeso ramas pálidos espíritus amados carne viva profanadas frutas viven hombres ay mas proscripto entrañas propias alimenta tiranos desterrad alcanzan honor odio muertos valiera oh bárbaros punto arrebatarlos hogar hundiera hondo pecho honrado esbirro cruel hoja dura grato morir horrible vivir muerto mas mas dicha prenda compasión fortuna triste sabe domarla mejores hijos desgracias da naturaleza fecunda hierro llano golpe hierro,hierro
Rubén Darío,dejad siga bogue galera bajo tempestad olas va rumbo atlántida española porvenir calla espera apague rencor odio muera pendón bárbaro enarbola si día justicia sola sentirá humanidad entera bogue olas espumeantes bogue galera visto cómo tormentas inconstantes raza pie brazo listo va barco capitán cervantes arriba flota pabellón cristo,españa
Melchor de Palau,i caballo salvaje saltando nube nube corre inquieto baja sube frenos rendaje mensaje celestiales enojos pues lanzando dardos rojos alto muro derrumba abre inesperada tumba polvorientos despojos ii caudillo tormenta agita hondos mares tronza robles seculares fuego voraz afrenta quién tomará cuenta domeñar furia brava quién torrente lava pondrá dique carrera hombre hombre fiera convierte dócil esclava iii franklin rayo guerra empeño decae encadenado atrae senos tierra lampo río aterra ignara muchedumbre fatídica lumbre centelleando corre abate excelsa torre perfora techumbre iv hombre quiere mostrar egregio blasón trocando condición rayo mata hiere conseguirlo infiere frente frente soslayo in tregua desmayo tan ardua tarea empieza puesto cabeza dar educación rayo v hilos conductores dirige cariño inseguro niño camina andadores tras luchas sinsabores tal enseñanza recibe desvive facultades labra transmite palabra andando tiempo escribe vi triunfante fijó indecisa luz signo cruz saludaba caminante luna vergonzante casi salir atreve pena conmueve contemplan desmedradas luces decantadas gran siglo diez nueve vii mares rugientes lado ambición transportado parte patrios lares europeos hogares enciende fuego indiano hendiendo oceano abismo bullidor repite amor saludo hermano viii convierte fuerza viva buen éxito explota fuerza remota permaneciera inactiva alambres cautiva puntos llevada soberbia cascada indolente arrullo murmura noble orgullo sentirse utilizada ix hoy si abate muro fuerte si rompiendo pétreos lazos arroja monte pedazos libra hombre muerte auxilio convierte miedo desmande aunque energía grande acción prudente retarda esclavo sumiso aguarda dueño mande x tiempo avanzada tormenta ruda hoy poder escuda cosecha amenazada índole transformada contempladlo todas horas cómo ansias protectoras siempre vela mantiene grita nube viene barcas pescadoras xi si día lejano fatal atributo precursor infausto luto júpiter mano sujeto imperio humano sufrido tal mudanza venganza sepulta avernos pueblos modernos lazo alianza xii rayo hiendes olas pase chispa inspira cuerdas lira vibrarán solas crezca tierras españolas venidera importancia cantaré arrogancia fuerza avasalladora cantado ahora historia infancia,rayo
Dina Posada,quiero morir espuma carnal envolviendo pulso casi polvo pulpa zumo íntimo adiós trazarán sonrisa labios luto repetir mientras reloj aparte recuerdo,carta final
Octavio Paz,tendida piedra hecha mediodía ojos entrecerrados blanco azulea entornada sonrisa incorporas medias sacudes melena león luego tiendes delgada estría lava roca rayo dormido mientras duermes acaricio pulo hacha esbelta flecha incendio noche mar combate allá lejos espadas plumas,relámpago reposo
Manuel Alcántara,resulta historia escrita quise hacerla manera quería volviera resulta historia resucita resulta tiempo cita hacer banco madera corazón viene bien espera quién sabe si además necesita azafatas vuelo alicortado van café piñas tropicales aires ciudadanos ruidosos arriba tiempo nuevo presentado fluorescentes luces credenciales enrolla pergaminos luminosos,soneto esperarte cafetería
Leopoldo María Panero,allá aún esconde vida queda reino queda cultivar rey agonía hacer florecer reino sucia flor agonía prostituí aún puedo prostituir muerte hacer cadáver último poema,dedicatoria
Marilina Rébora,panadero pan panadero pan alborozados niños exclaman vuelva tiempo hacia aire infantil afán resoplan vilano disuelva junto arcada patio zaguán constreñida follaje fragante selva quebrando cabillos deleite beber néctar dulce madreselva mientras niñas mayores jazmines cielo desmenuzan prolijas desuniendo flores obtener vástago glutinoso pelo luego entornan ojos instante quietas pegan párpados pestañas colores pequeñas mujeres pasean coquetas,vilano
Antonio Fernández Lera,lucha dos abrazo voz rompe carne luz eléctrica fuego carne bajo luz distinta televisor ojos encendido quiero sonrisa espumosa cerveza nunca doy cuenta maldita pobre inútil inservible letra tango seguir dejarme llevar viento aire muere montar alas pájaro volar volar volar aire muere,eco voz
Claribel Alegría,nunca lluvia mancha luz peñasco borde nube inmóvil sonrisa fugitiva nunca instante dice adiós ojos,día lluvia
Luis de Góngora,flores señor don diego años áspid duerma breve ocio salamandria nieve vigilante estudio fuego cuantas clavó flechas ciego dulce sangre bebe hurtadle rato alguna pluma leve aire vago solicite luego quejáos señor celebrad desdén favor dama sirena dulce si esfinge bella escribid gloria apolo llama cielo haréis tercero estrella pluma vuelo fama,don diego páez castillejo valenzuela
Pablo Neruda,cien sonetos amor niña madera llegó caminando allí pronto sentada ladrillos viejas flores mar cubrían cabeza mirada tristeza raíces allí quedó mirando vidas abiertas ir ser andar volver tierra día destiñendo pétalos graduales vigilaba vernos niña madera niña coronada antiguas olas allí miraba ojos derrotados sabía vivimos red remota tiempo agua olas sonidos lluvia saber si existimos si sueño ésta historia muchacha madera,cien sonetos amor
Lope de Vega,canta pájaro amante enramada selva amor verde suelo visto cazador desvelo escuchando ballesta armada tirale yerra vuela turbada voz pico transformada yelo vuelve ramo ramo acorta vuelo alejarse prenda amada desta suerte amor canta nido mas luego celos recela tiran flechas temor olvido huye teme sospecha inquiere cela ve cazador ido pensamiento pensamiento vuela,canta pájaro amante
Francisco de Quevedo,aqueste enterramiento humilde pobre mezquino yace envuelto oro fino hombre rico avariento murió cien mil dolores poderlo remediar tan sólo gastar aun gasta malos humores,avariento
Luciano Castañón,brilláis oro residuales peces metálico torso verde amarillo tono inaprensible pupila ahora pierde color peces raudos bajo agua estanque peces colores fantasmal color peces lonja allí ojos deudores subastan humilde calamar sardina parabólica ojo bicolor contorno azulado velocidad diabólica besugo bruñido besugo cara simple dile enfado mujer arrastre lomo clave asciende vengativo boca beso muerde mujer pueda doler ancha ancha raya cartílago rosa raya aeroplano plano raya masa viscosa graciosa resbaladiza losa raya feo feísimo pez ahora veo si insultas diré feos padre madre creo congrio tiemble voz boca rana labios risa estuche pluridentado temido pescador vida bueno circunferencia nido palidez enfermo trasuda lenguado liso bonito azul sabes contorno tan exacto convergente envidia geómetra preciso juntos rape merluza mal compagina gris elegancia junto cabezota triangular caperuza sable enigma esbozas suelo murmura ondulación pringosa rígidamente quedas impávido dejan tendido losa suelo rula parece pecera hueca ojos equidistantes oblicuados muerte brevísimas cimas apiñados cachalotes locos arácnidos mar bondadosas tolinas congrios ávidos peces cristo pulpos demonio amedrentando sueño tentáculos peces oh peces libertad ácuea sólo seres ahogados baba resbaladizo suelo alcantarilla rasgada bebe bebe limo residual peces muertos vientre desnudo sangrienta agalla aleta cola mienten playa,rula
Pelayo Fueyo,sueño pierdo doble ser mujer f pessoa quiero llegar misma mirándote ojos besándote boca besa puede ser dos puede ser dos j cortázar i vaho aliento espejo dibujo corazón centro índice descubre espero transito imagen embargo vano calle palpita tono intermedio reflejo dibujo corazón centro índice descubre ido ii violaré territorio rosa olido rosa refleja ausencia espejo jamás podrás ser dedo dibujaré flor silueta dejaré huellas vidrio así cuerpo reflejo ausencia rosa grabaré deseo mas quién sabe si volverás aquí ignorarme desdeñando reflejo grabado saber espero cuerpo si cambio querrás tocar rosa añadir tacto silueta flor ausencia misma presencia estorbe deseo ii recuerdo ayer imagen mujer hermosa frente cristal punto débil hoy imagen hombre quería grito hecho pedazos dejado ojos proyecten engaño cruje vidrio creo amado ámbito conocemos persona iii fin dos materia espejo adónde miras hacia hacia podremos vernos quizás latidos reflejen dos cruce enmarcados aire,dama espejo
Claribel Alegría,malogrados ojos oblicua niña temerosa deshechos bucles dientes trizados cuerdas tensas subiéndome cuello bruñidas mejillas facciones destrozada sólo quedan fragmentos gastado trajes entonces uñas piel siempre recuerdo tiempo paisajes cuadriculados gentes ojos mal puestos mal puestas narices lenguas saliendo espinas acongojadas bocas tampoco encontré seguí buscando conversaciones salones conferencia bibliotecas rodeando hueco necesito espejo cubra oquedad solamente fragmentos marco aristados fragmentos hieren reflejando ojo labio oreja si rostro si sintético movedizo oscilara cuatro dimensiones escurriéndose veces aún desconocidas cambiado formas danza voy morirme día sé rostro puedo volverme,autorretrato
Miguel Hernández,boca arrastra boca boca arrastrado boca vienes lejos iluminarme rayos alba das noches resplandor rojo blanco boca poblada bocas pájaro lleno pájaros canción vuelve alas hacia arriba hacia abajo muerte reducida besos sed morir despacio das grama sangrante dos fúlgidos aletazos labio arriba cielo tierra labio beso rueda sombra beso viene rodando primer cementerio últimos astros astro boca enmudecido cerrado roce celeste hace vibren párpados beso va porvenir muchachas muchachos dejarán desiertos calles campos cuánta boca enterrada boca desenterramos beso boca brindo boca tantos cayeron vino amorosos vasos hoy recuerdos recuerdos besos distantes amargos hundo boca vida oigo rumores espacios infinito parece volcado volverte besar volver hundo caigo mientras descienden siglos hacia hondos barrancos febril nevada besos enamorados boca desenterraste amanecer claro lengua tres palabras tres fuegos heredado vida muerte amor ahí quedan escritos labios,boca
Francisco Álvarez,déjame penetrar memoria arrancar cuajo manos recuerdos crueles inhumanos oscurecen cielo historia restablecer toda gloria tiempos felices tan lejanos jardines crecerán lozanos árboles pasión gozo euforia entrarás tierra prometida libre soledad dolor llanto mano siempre tendida cubrirá amor bajo manto cuanto vida quiero,regeneración
Gustavo Adolfo Bécquer,asomaba ojos lágrima labio frase perdón habló orgullo enjugó llanto frase labios expiró voy camino pensar mutuo amor digo aún callé aquel día dirá lloré,rima xxx
Basilio Sánchez,claridad agota pavimentos van palabras elevan encima línea sombras altura mano sostiene vela altura mundo aún sólo vaso vidrio puesto mesa esperanza hace mover agua tranquilo memoria vuelve verde hojas frío da reflejos azules ojos flor oscura todavía umbral corazón late vertical suelo dispuesto envejecer deuda vida hombre tamaño puñado tierra ahora escribe,umbral
Toni García Arias,ceniza gris invade objetos mano varada mitad mesa aguardando mano latitud voz fotos espejos ignoran pluma sangre venas folio blanco mar muertos risa día luna llena cosas años imparables rocas sabor puertas cerrarse,puertas
Pablo Neruda,poemas amor canción desesperada ido marcando cruces fuego atlas blanco cuerpo boca araña cruzaba escondiéndose detrás temerosa sedienta historias contarte orilla crepúsculo muñeca triste dulce triste cisne árbol lejano alegre tiempo uvas tiempo maduro frutal viví puerto amaba soledad cruzada sueño silencio acorralado mar tristeza callado delirante dos gondoleros inmóviles labios voz va muriendo alas pájaro angustia olvido así redes retienen agua muñeca apenas quedan gotas temblando embargo canta palabras fugaces canta sube ávida boca oh poder celebrarte todas palabras alegría cantar arder huir campanario manos loco triste ternura haces repente llegado vértice atrevido frío corazón cierra flor nocturna,poemas amor canción desesperadapoema
Luis Cernuda,campo tranquilo septiembre álamo amarillo alguna hoja estrella rota girando suelo viene si así alma inconsciente señor estrellas hojas encendida sombra vida muerte,deseo
Juan José Vélez Otero,sé hace falta escribas postales envíes esquejes cristales oscuros hace tiempo vivo libros solas invento aventuras islas lejanas sé bebo redacto poemas van olvido cajones helados guardo magia nubes invierno bruma arenosa veranos difusos aún conservo espejo tardes habla pezones rosados caderas fugaces mapas guardados tesoros deshechos llaves frío escondo alma éstas abren caudal versos espectro agotado cenizas furtivas olvidaste pañuelo blusa encajes cuarto baño barra labios dejaste silla nadie sienta sé solo aún memoria voz dispersa espumas viento versos ahogados mar abandono unas pálidas manos acarician horas sé hace falta escribas postales envíes fotos ecos cuerpo flores sombras jarrones agua sabor boca cadáver hermoso,sé hace falta
Toni García Arias,vestía traje lino pajizo panamá ladeado recuerdo mano derecha lucía bastón empuñadura plata cada verano vecinos aguardábamos llegada aguardan velas viento inventa latitudes paco cubano llamaban sonrisa torcida atravesaba rostro punta punta puerto carmesí muestra navegantes ciudad sueñan hablaba cuba color dorado habana vieja palabras quedaban grabadas oídos humo queda impreso paredes imborrable día marchó definitivamente nadie supo jamás miserias preparar viaje ahora comienzo recuerdo figura escueta casi invisible temo trague verbo tanta distancia,habanera
Salvador García Ramírez,insistió garganta verjas pendientes flancos rosas derrumbe martillo agua envés madera sellada balcón larga clausura quién sabe soledad plagada refugios levitaba cola niebla rotaba aún saber vuelven corrientes formábanse sombra rota pezuña luto baúl maleza piel sustituida formábase repartido permiso licena rodopio do mar dónde olvida,voltar
Rubén Darío,tropel potros pampa inmensa pan incorpora hombre piensa hombre lira mano viene azul sol océano trae encendida vida palabra potente concreta decir continente tal vez desigual pegaso da saltos tal vez tempestuoso andes tan altos verso tan vigoroso terso sangre apenas veréis verso sangre estrofa circula luz penetra onda ondula pegaso contento pegaso piafa brinca pegaso pace prados inca fuerte poeta alma tan ardorosa sabe bien cuentan labios rosa comprende dulzuras panel comprende dice abeja secreto duende brazo levantar trompeta hacia anuncia aurora profeta hecho dar virtud viento expresión terrible clarín pensamiento sabe amazonas chimborazos andes siempre blande verso cosas grandes va don quijote ideal campaña vive amor américa pasión españa envuelto armonía melodía canto rasgos héroe actitudes santo permites chocano amigo fiel ponga ojal hoja laurel tal dije don j santos chocano último incas tornó castellano,preludio
César Vallejo,amada querido plasmarte jamás pensado divino amor quédate hostia ciega impalpable existe dios si cantado llorado oh parábola excelsa amor quédate seso mito inmenso corazón fe fragua quemé terroso hierro tanta mujer yunque impío quise pulir quédate eterna nebulosa ahí multicencia dulce ser si querido plasmarte jamás metafísica emoción amor deja azote pecador,alma imposible amada
Marilina Rébora,melancolía abandono si razón menos nueva si existen rencores muerde encono sentimiento ánimo subleva causa atribuir tan ciego pesimismo motivo encontrar tenaz congoja si puro fatalismo fin alma enoja ansiedad vivir vértigo prisa exacerba mente punto culminante tiempo escaso improvisa destino ser juega instante cabo día aplasta cuyo consuelo oración sólo basta,vértigo
José Ángel Valente,hablaba prisa hablaba oír ver hablar hablaba huye emboscado pronto falsos follajes simpatía irrealidad hablaba puntuación silencios intercalando cada pausa gestos ensayada alegría evitar acaso furtiva pregunta solidaridad pasado desnuda verdad hablaba queriendo borrar vida testigo incómodo rodeaba secundarios seres desprecios alimentaban grosera vanidad compraba así silencio duro precio posición estable duro precio derecho vida duro precio duro precio pan metal noble tal vez martillo batiera causa pura poeta tiempo miseria tiempo mentira infidelidad,poeta tiempo miseria
Miguel Hernández,orihuela pueblo muerto rayo ramón sijé quería quiero ser llorando hortelano tierra ocupas estercolas compañero alma tan temprano alimentando lluvias caracolas órganos dolor instrumento desalentadas amapolas daré corazón alimento dolor agrupa costado doler duele aliento manotazo duro golpe helado hachazo invisible homicida empujón brutal derribado extensión grande herida lloro desventura conjuntos siento muerte vida ando rastrojos difuntos calor nadie consuelo voy corazón asuntos temprano levantó muerte vuelo temprano madrugó madrugada temprano rodando suelo perdono muerte enamorada perdono vida desatenta perdono tierra manos levanto tormenta piedras rayos hachas estridentes sedienta catástrofes hambrienta quiero escarbar tierra dientes quiero apartar tierra parte parte dentelladas secas calientes quiero minar tierra encontrarte besarte noble calavera desamordazarte regresarte volverás huerto higuera altos andamios flores pajareará alma colmenera angelicales ceras labores volverás arrullo rejas enamorados labradores alegrarás sombra cejas sangre irán cada lado disputando novia abejas corazón terciopelo ajado llama campo almendras espumosas avariciosa voz enamorado aladas almas rosas almendro nata requiero hablar muchas cosas compañero alma compañero,elegía
Rubén Darío,retorno tierra natal sido tan sentimental tan mental tan divino aún gotas alba cristalinas jazmín ensueño fragancia trino anfión antiguo prodigio canto levanta gracia prodigio encanto une carne espíritu pan vino lugar luz bien cosa podría sino besar manto roma atenas jerusalén exprimidos idea orgullo cariño esencia recuerdo arte corazón concreto ahora ensueños niño crín anciana amado león bendito dromedario través desierto condujera rey mago aureolada sien dirigía camino cierto astro oro conducía belén amapolas sangre azucenas nieve mirado lejos divino laurel sabido vino vida breve precipita hondamente ponzoña hiel mas sabe optimista religioso pagano césar orfeo planeta gira tierra llevar mano dominadora siempre espada lira paso misterioso mágicos diamantes corona sandalias pies maestros elevaron genios triunfarán después parece mercurio llevara caduceo manera triunfal dulce país brotara pura hecha deseo cada piedra mágica flor lis atavismo griego fenicia influencia siempre ansia navegar jasón legado sublime experiencia sentir vida misterios mar oh cuántas veces cuántas oí sones sirenas líricas clásicos mares cuántas mirado tropeles tritones cortejos ninfas ceñidas azahares pan vino américa tiempos fabulosos gigantes conquistaban pan baco tierra incógnita tigres molosos custodiaban templos sagrados copán celebraban cultos estrellas abismos sacra visión dios vital conciencia mismos magnificencia primavera atlántidas huéspedes suma revelación tiempo gran moctezuma hugo vio momotombo órgano verdad través páginas fatales historia tierra hecha vigor gloria tierra hecha humanidad pueblo vibrante fuerte apasionado altivo pueblo conciencia ser vivo reuniendo energías haz portentoso patria vigoroso demuestra puede bravamente presentar diestra acero guerra olivo paz dante llevaba sorbona ciencia maravilloso corazón florentino creo concretaba alma florencia ciudad libro divino si pequeña patria grande sueña ilusiones deseos esperanzas dicen patria pequeña león hoy roma parís quisiera ser ahora ulises griego domaba arcos barcos destinos quiero ahora deciros luego resuelvo deciros adiós,retorno
Ramón López Velarde,pedro alba planta imponderable cruzas mundo cruzas conciencia sufrido rostro éxtasis dilata transparencia pobrecilla sonámbula pareces ruta novicia ir diciendo azar hagáis daño temo maltrate caricia devuelves matiz inmaculado paisaje ilusorio posas restituyes integridad inocente hombres cosas así cruzas mundo ingrávidos pies transparencia éxtasis adelgaza perfil vas diciendo marcho clemencia virginidad panorama clara embriaguez conciencia,pobrecilla sonámbula
José Antonio Labordeta,javalambre nieve pecho inmensa herida mansuetos abren carne joven vieja tierra gira cielo pasan camino mar enormes camiones transporte adiós adiós hoy san martín mudéjar nostalgia amigos allá infancia miro hacia fondo villaespesa lleva consigo tierra surge dentro teruel áridas voces mineros ascienden violento carmín paisaje,teruel
Delfina Acosta,hizo mirada distraída llamarada añil silencio seis punto adiós mustio frente olas rubias aquel puerto hizo primeras golondrinas frío tarde aquel miedo llegaras tarde llegaras muchacha viento alma llena gorriones mudos hizo hojarasca infierno pasos lejos vida rayo absurdo pensamiento escribo verso torpe distraído sucio desvestido perro fiel hijo amado padre madre mientras noche ladra,dios
Consuelo Hernández,dejar atrás pueblo recuerdo elemental cada amigo paseos domingo salvadores almuerzos mesa compartida rodar rumbos ausente fijar nuevos impuestos lloro agua vespertina nunca abandona cambiar sol nieve calor helada vivir extraños vida menos sustancial tener amiga acacia siempre ausente seres cruzan vida poder saber nunca si parte detrás máscaras clavan cuchillo dejado hoy yergue torre centro misma,dejado
Lope de Vega,quiero escribir llanto deja pruebo llorar descanso vuelvo tomar pluma vuelve llanto impide bien aqueja si llanto dura alma queja si escribir ojos si muerte consuelo levanto entrambos esperanza aleja ve blanco fin papel penetra centro deste pecho enciende di si bien pudieres verte haga lágrimas letra pues bien entiende cuanto escribo lloro muerte,quiero escribir
Pablo Neruda,cien sonetos amor pensé morir sentí cerca frío cuanto viví sólo dejaba boca día noche terrestres piel república fundada besos instante terminaron libros amistad tesoros tregua acumulados casa transparente construimos dejó ser menos ojos amor mientras vida acosa simplemente ola alta olas ay muerte viene tocar puerta sólo mirada vacío sólo claridad seguir siendo sólo amor cerrar sombra,cien sonetos amor
Juan Ramón Jiménez,médanos oro vienen van mar luz recuerdos viento lleva médanos oro llenan mar total oro insondable viento recuerdos,recuerdo
Marilina Rébora,quisiera saber madre san marcos león san roque perro san francisco aves san huberto ciervo san jorge dragón san pedro gallo signos claves san martín porres barriendo alcoba graciosas lauchas prodigaba tierno durmieran tranquilas escoba mismo olvidándose aterido invierno digas rías tampoco háblame santos di reza quisiera parecérmeles conocerlos tener corderito compañía llevar mismo nimbo cabeza altares contigo madre día,santos
Federico García Lorca,cantan niños noche quieta arroyo claro fuente serena niños divino corazón fiesta doblar campanas perdidas niebla niños dejas cantando plazuela arroyo claro fuente serena manos primavera rosa sangre azucena niños mójalas agua canción añeja arroyo claro fuente serena sientes boca roja sedienta sabor huesos gran calavera niños bebe agua tranquila canción añeja arroyo claro fuente serena vas tan lejos plazuela voy busca magos princesas niños quién enseñó camino poetas fuente arroyo canción añeja niños vas lejos lejos mar tierra llenado luces corazón seda campanas perdidas lirios abejas iré lejos allá sierras allá mares cerca estrellas pedirle cristo señor devuelva alma antigua niño madura leyendas gorro plumas sable madera niños dejas cantando plazuela arroyo claro fuente serena pupilas enormes frondas resecas heridas viento lloran hojas muertas,balada placeta
